Symbol;Full Name;GICS Sector;Sub Industry;Environment Score;Social Score;Governance Score;ESG Total Score;Controversy Level;Percentile;Rating Year;Rating Month;Market Cap;beta;Overall Risk;Rating Date
LRCX;Lam Research;Information Technology;Semiconductor Materials & Equipment;4.5;3.97;5.14;13.61;1.0;7.91;2023;9;99490209792;1.483;1;2023-09-01
LULU;Lululemon Athletica;Consumer Discretionary;Apparel, Accessories & Luxury Goods;1.58;9.86;5.5;16.94;2.0;16.93;2023;9;32572626944;1.253;8;2023-09-01
LUV;Southwest Airlines;Industrials;Passenger Airlines;11.04;13.69;5.95;30.67;2.0;71.33;2023;9;17099948032;1.162;6;2023-09-01
LVS;Las Vegas Sands;Consumer Discretionary;Casinos & Gaming;2.3;7.72;8.67;18.69;2.0;22.99;2023;9;30488285184;1.113;10;2023-09-01
LYB;LyondellBasell;Materials;Specialty Chemicals;13.5;2.1;5.09;20.69;2.0;30.53;2023;9;30880202752;1.082;1;2023-09-01
MA;Mastercard;Financials;Transaction & Payment Processing Services;2.15;6.66;8.27;17.07;4.0;17.41;2023;9;462832107520;1.103;1;2023-09-01
MAA;Mid-America Apartment Communities;Real Estate;Multi-Family Residential REITs;3.9;2.95;6.25;13.09;1.0;6.87;2023;9;19992911872;0.873;5;2023-09-01
MAR;Marriott International;Consumer Discretionary;Hotels, Resorts & Cruise Lines;8.55;9.16;3.72;21.43;3.0;33.65;2023;9;66329636864;1.591;7;2023-09-01
MAS;Masco;Industrials;Building Products;9.73;5.64;6.82;22.19;1.0;36.81;2023;9;17732730880;1.247;8;2023-09-01
MCD;McDonald's;Consumer Discretionary;Restaurants;7.56;12.56;5.84;25.95;3.0;52.97;2023;9;210719506432;0.724;6;2023-09-01
MCHP;Microchip Technology;Information Technology;Semiconductors;15.25;9.16;7.4;31.82;1.0;75.0;2023;9;41310883840;1.519;6;2023-09-01
MCK;McKesson Corporation;Health Care;Health Care Distributors;1.65;7.28;6.29;15.23;3.0;11.87;2023;9;67408543744;0.441;3;2023-09-01
MCO;Moody's Corporation;Financials;Financial Exchanges & Data;1.61;6.09;8.12;15.82;2.0;13.52;2023;9;88281661440;1.29;3;2023-09-01
MDLZ;Mondelez International;Consumer Staples;Packaged Foods & Meats;7.23;9.39;5.41;22.02;3.0;36.13;2023;9;100893089792;0.548;5;2023-09-01
MDT;Medtronic;Health Care;Health Care Equipment;1.78;13.43;7.57;22.77;3.0;39.15;2023;9;113676828672;0.854;6;2023-09-01
